time,id,iq,vd,vq
1733814202447,0,1097,65020,12435
1733814202550,0,777,64498,12950
1733814202655,0,1097,65046,12202
1733814202759,0,913,62447,12121
1733814202862,0,910,64777,12052
1733814202967,0,1070,64073,12415
1733814203071,0,728,64729,12664
1733814203174,0,1225,65129,12605
1733814203278,0,1038,64688,12928
1733814203382,0,1241,64534,12343
1733814203486,0,939,63013,12305
1733814203591,0,1086,64276,12302
1733814203694,0,847,63178,11863
1733814203799,0,1019,65072,13028
1733814203902,0,908,64117,11719
1733814204008,0,1217,177,13475
1733814204110,0,1044,64049,12332
1733814204213,0,804,63651,12418
1733814204317,0,1160,65107,12968
1733814204422,0,932,63826,12199
1733814204525,0,1206,65432,12918
1733814204630,0,1038,64218,12266
1733814204734,0,1185,63863,12949
1733814204838,0,766,63959,11390
1733814204942,0,1024,63066,12576
1733814205045,0,932,63305,12220
1733814205150,0,891,64278,12266
1733814205253,0,1122,65297,12849
1733814205357,0,777,64706,12037
1733814205461,0,1166,63499,12923
1733814205565,0,1022,63613,12617
1733814205669,0,1231,62487,12511
1733814205773,0,981,63843,12565
1733814205877,0,1084,64199,12186
1733814205981,0,783,64263,12140
1733814206085,0,1089,64847,12273
1733814206189,0,902,62774,12066
1733814206293,0,1231,60663,15288
1733814206397,0,1081,63912,12564
1733814206501,0,1084,65307,13030
1733814206605,0,1231,63920,12579
1733814206709,0,1013,65370,13143
1733814206813,0,1247,64627,11805
1733814206917,0,956,64797,12691
1733814207021,0,1041,64001,12324
1733814207125,0,899,63138,11982
1733814207229,0,1198,65197,13048
1733814207333,0,927,63914,12313
1733814207438,0,1222,65458,12941
1733814207541,0,1054,64235,12645
1733814207645,0,1111,63449,13285
1733814207749,0,774,63624,11666
1733814207853,0,1057,63178,12510
1733814207957,0,905,64467,12443
1733814208061,0,905,63854,11977
1733814208165,0,1119,65300,13437
1733814208269,0,755,65011,11851
1733814208373,0,1155,63728,12910
1733814208477,0,1089,63736,12432
1733814208581,0,1217,63895,12916
1733814208685,0,970,64344,12486
1733814208789,0,1073,65036,12960
1733814208893,0,815,64387,12172
1733814208997,0,1008,64958,12203
1733814209101,0,888,62625,11675
1733814209205,0,1000,64449,12245
1733814209309,0,1070,63519,12468
1733814209413,0,1089,64784,12773
1733814209517,0,1233,65050,12473
1733814209621,0,1011,64923,12854
1733814209725,0,1236,64391,12434
1733814209829,0,972,62354,12234
1733814209933,0,1089,64258,12258
1733814210037,0,866,63137,11865
1733814210141,0,0,0,0
1733814210244,0,0,0,0
1733814210346,0,0,0,0
1733814210448,0,0,0,0
1733814210551,0,0,0,0
1733814210652,0,0,0,0
1733814210754,0,0,0,0
1733814210856,0,0,0,0
1733814210958,0,0,0,0
1733814211061,0,0,0,0
1733814211162,0,0,0,0
1733814211264,0,0,0,0
1733814211366,0,0,0,0
1733814211468,0,0,0,0
1733814211570,0,0,0,0
1733814211672,0,0,0,0
1733814211774,0,0,0,0
1733814211876,0,0,0,0
1733814211978,0,0,0,0
1733814212080,0,0,0,0
1733814212182,0,0,0,0
1733814212284,0,0,0,0
1733814212386,0,0,0,0
1733814212488,0,0,0,0
1733814212590,0,0,0,0
1733814212692,0,0,0,0
1733814212794,0,0,0,0
1733814212896,0,0,0,0
1733814212998,0,0,0,0
1733814213100,0,0,0,0
1733814213202,0,0,0,0
1733814213304,0,0,0,0
1733814213406,0,0,0,0
1733814213507,0,0,0,0
1733814213610,0,0,0,0
1733814213713,0,0,0,0
1733814213814,0,0,0,0
1733814213916,0,0,0,0
1733814214018,0,0,0,0
1733814214120,0,0,0,0
1733814214222,0,0,0,0
1733814214324,0,0,0,0
1733814214425,0,0,0,0
1733814214528,0,0,0,0
1733814214639,0,0,0,0
1733814214732,0,0,0,0
1733814214834,0,0,0,0
1733814214936,0,0,0,0
1733814215037,0,0,0,0
1733814215140,0,0,0,0
1733814215242,0,0,0,0
1733814215344,0,0,0,0
1733814215446,0,0,0,0
1733814215548,0,0,0,0
1733814215649,0,0,0,0
1733814215752,0,0,0,0
1733814215854,0,0,0,0
1733814215957,0,9532,63462,10794
1733814216061,0,1423,64601,14853
1733814216165,0,65235,64569,4943
1733814216269,0,2099,64148,13226
1733814216373,0,140,64602,11209
1733814216477,0,1368,64236,12230
1733814216581,0,884,65515,12846
1733814216685,0,860,64949,12348
1733814216789,0,1118,63863,12772
1733814216893,0,1067,63746,12257
1733814216997,0,1243,63972,13032
1733814217101,0,963,63801,12372
1733814217205,0,1099,64236,12392
1733814217309,0,812,64542,12437
1733814217413,0,1007,65055,11819
1733814217517,0,907,62446,12001
1733814217621,0,929,64381,12059
1733814217724,0,1072,63881,12507
1733814217829,0,1091,65272,13148
1733814217933,0,1254,64927,12359
1733814218037,0,1051,65135,12878
1733814218140,0,1254,64417,12456
1733814218244,0,991,62412,12183
1733814218349,0,1127,64295,12248
1733814218453,0,885,62901,11870
1733814218557,0,1062,64659,12747
1733814218661,0,940,63981,11999
1733814218766,0,1254,210,13089
1733814218868,0,1073,63987,12282
1733814218972,0,871,62784,12601
1733814219076,0,1222,64677,12943
1733814219180,0,989,63985,12512
1733814219285,0,1268,58,12673
1733814219387,0,1108,63465,12170
